net_name,layer_name,fused_layer_type,in_mem,weight_mem,out_mem,operations,tp,batch_size,sequence_length
efficientnet_b0,layer5_features_1_0_block_2_0,single,1e-09,1e-09,0.006422528,205520896,1,32,1
efficientnet_b0,layer5_features_1_0_block_2_0,start,1e-09,1e-09,0.0,3211264,2,1,1
efficientnet_b0,layer5_features_1_0_block_2_0,middle,0.0,1e-09,0.0,3211264,2,1,1
efficientnet_b0,layer5_features_1_0_block_2_0,end,0.0,1e-09,0.000100352,3211264,2,1,1
efficientnet_b0,layer5_features_1_0_block_2_0,single,1e-09,1e-09,0.000100352,3211264,2,1,1
efficientnet_b0,layer5_features_1_0_block_2_0,start,1e-09,1e-09,0.0,102760448,2,32,1
efficientnet_b0,layer5_features_1_0_block_2_0,middle,0.0,1e-09,0.0,102760448,2,32,1
efficientnet_b0,layer5_features_1_0_block_2_0,end,0.0,1e-09,0.003211264,102760448,2,32,1
efficientnet_b0,layer5_features_1_0_block_2_0,single,1e-09,1e-09,0.003211264,102760448,2,32,1
efficientnet_b0,layer6_features_2_0_block_0_0,start,1e-09,1e-09,0.0,19267584,1,1,1
efficientnet_b0,layer6_features_2_0_block_0_0,middle,0.0,1e-09,0.0,19267584,1,1,1
efficientnet_b0,layer6_features_2_0_block_0_0,end,0.0,1e-09,0.001204224,19267584,1,1,1
efficientnet_b0,layer6_features_2_0_block_0_0,single,1e-09,1e-09,0.001204224,19267584,1,1,1
efficientnet_b0,layer6_features_2_0_block_0_0,start,1e-09,1e-09,0.0,616562688,1,32,1
efficientnet_b0,layer6_features_2_0_block_0_0,middle,0.0,1e-09,0.0,616562688,1,32,1
efficientnet_b0,layer6_features_2_0_block_0_0,end,0.0,1e-09,0.038535168,616562688,1,32,1
efficientnet_b0,layer6_features_2_0_block_0_0,single,1e-09,1e-09,0.038535168,616562688,1,32,1
efficientnet_b0,layer6_features_2_0_block_0_0,start,1e-09,1e-09,0.0,9633792,2,1,1
efficientnet_b0,layer6_features_2_0_block_0_0,middle,0.0,1e-09,0.0,9633792,2,1,1
efficientnet_b0,layer6_features_2_0_block_0_0,end,0.0,1e-09,0.000602112,9633792,2,1,1
efficientnet_b0,layer6_features_2_0_block_0_0,single,1e-09,1e-09,0.000602112,9633792,2,1,1
efficientnet_b0,layer6_features_2_0_block_0_0,start,1e-09,1e-09,0.0,308281344,2,32,1
efficientnet_b0,layer6_features_2_0_block_0_0,middle,0.0,1e-09,0.0,308281344,2,32,1
efficientnet_b0,layer6_features_2_0_block_0_0,end,0.0,1e-09,0.019267584,308281344,2,32,1
efficientnet_b0,layer6_features_2_0_block_0_0,single,1e-09,1e-09,0.019267584,308281344,2,32,1
efficientnet_b0,layer7_features_2_0_block_1_0,start,1e-09,1e-09,0.0,2709504,1,1,1
efficientnet_b0,layer7_features_2_0_block_1_0,middle,0.0,1e-09,0.0,2709504,1,1,1
efficientnet_b0,layer7_features_2_0_block_1_0,end,0.0,1e-09,0.000301056,2709504,1,1,1
