net,layer_name,batch_size,sequence_length,mapper_idx,fused_layer_type,tp_degree,arch_target,glb_scale,pe_x_scale,pe_y_scale,dram_i,dram_o,latency,static_power,dynamic_energy,area,utilization,i_access,w_access,o_access
vit_h14_s257,layer0_gate_proj,1,1,0,start,1,PIM,1,1,1,GDDR7,GDDR7,0.00107168344138546,0.270727977745468,0.035618172174222015,,1.0,,,
vit_h14_s257,layer0_gate_proj,1,1,0,middle,1,PIM,1,1,1,GDDR7,GDDR7,0.00107168344138546,0.270727977745468,0.035618172174222015,,1.0,,,
vit_h14_s257,layer0_gate_proj,1,1,0,end,1,PIM,1,1,1,GDDR7,GDDR7,0.00107168344138546,0.270727977745468,0.035618172174222015,,1.0,,,
vit_h14_s257,layer0_down_proj,1,1,0,single,1,PIM,1,1,1,GDDR7,GDDR7,0.00102195394138546,0.270185807894929,0.03716863377313151,,1.0,,,
vit_h14_s257,layer0_down_proj,1,1,0,start,1,PIM,1,1,1,GDDR7,GDDR7,0.00102195394138546,0.270185807894929,0.03716863377313151,,1.0,,,
vit_h14_s257,layer0_down_proj,1,1,0,middle,1,PIM,1,1,1,GDDR7,GDDR7,0.00102195394138546,0.270185807894929,0.03716863377313151,,1.0,,,
vit_h14_s257,layer0_down_proj,1,1,0,end,1,PIM,1,1,1,GDDR7,GDDR7,0.00102195394138546,0.270185807894929,0.03716863377313151,,1.0,,,
vit_h14_s257,layer0_q_proj,1,1,0,single,2,PIM,1,1,1,GDDR7,GDDR7,0.00022155168044916677,0.271232307003244,0.0078122055833467815,,1.0,,,
vit_h14_s257,layer0_q_proj,1,1,0,start,2,PIM,1,1,1,GDDR7,GDDR7,0.00022155168044916677,0.271232307003244,0.0078122055833467815,,1.0,,,
vit_h14_s257,layer0_q_proj,1,1,0,middle,2,PIM,1,1,1,GDDR7,GDDR7,0.00022155168044916677,0.271232307003244,0.0078122055833467815,,1.0,,,
vit_h14_s257,layer0_q_proj,1,1,0,end,2,PIM,1,1,1,GDDR7,GDDR7,0.00022155168044916677,0.271232307003244,0.0078122055833467815,,1.0,,,
vit_h14_s257,layer0_attn_qk,1,1,0,single,2,PIM,1,1,1,GDDR7,GDDR7,0.000872971221796667,0.254214080967821,0.013119065036257949,,1.0,,,
vit_h14_s257,layer0_attn_qk,1,1,0,start,2,PIM,1,1,1,GDDR7,GDDR7,0.000872971221796667,0.254214080967821,0.013119065036257949,,1.0,,,
vit_h14_s257,layer0_attn_qk,1,1,0,middle,2,PIM,1,1,1,GDDR7,GDDR7,0.000872971221796667,0.254214080967821,0.013119065036257949,,1.0,,,
vit_h14_s257,layer0_attn_qk,1,1,0,end,2,PIM,1,1,1,GDDR7,GDDR7,0.000872971221796667,0.254214080967821,0.013119065036257949,,1.0,,,
vit_h14_s257,layer0_softmax_max,1,1,0,single,2,PIM,1,1,1,GDDR7,GDDR7,0.00018637078982416676,0.090266593596651,0.0005677170535118871,,1.0,,,
vit_h14_s257,layer0_softmax_max,1,1,0,start,2,PIM,1,1,1,GDDR7,GDDR7,0.00018637078982416676,0.090266593596651,0.0005677170535118871,,1.0,,,
vit_h14_s257,layer0_softmax_max,1,1,0,middle,2,PIM,1,1,1,GDDR7,GDDR7,0.00018637078982416676,0.090266593596651,0.0005677170535118871,,1.0,,,
vit_h14_s257,layer0_softmax_max,1,1,0,end,2,PIM,1,1,1,GDDR7,GDDR7,0.00018637078982416676,0.090266593596651,0.0005677170535118871,,1.0,,,
vit_h14_s257,layer0_softmax_sub_exp,1,1,0,single,2,PIM,1,1,1,GDDR7,GDDR7,0.00018637078982416676,0.090266593596651,0.0005677170535118871,,1.0,,,
vit_h14_s257,layer0_softmax_sub_exp,1,1,0,start,2,PIM,1,1,1,GDDR7,GDDR7,0.00018637078982416676,0.090266593596651,0.0005677170535118871,,1.0,,,
