metric,objective,cost_aware,config,network,category,value
Energy x Cost,energy,True,w/o Tensor Parallelism,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,12.002619625481904
Energy x Cost,energy,True,w/o Tensor Parallelism,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,220.72673536062095
Energy x Cost,energy,True,w/o Tensor Parallelism,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,1.3970689730340762
Energy x Cost,energy,True,w/o Tensor Parallelism,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,16.898946708659718
Energy x Cost,energy,True,w/o Tensor Parallelism,mobilenet_v3_small_b1_seq1,cnn,0.0038188946092666135
Energy x Cost,energy,True,w/o Tensor Parallelism,mobilenet_v3_small_b8_seq1,cnn,0.026374049316057836
Energy x Cost,energy,True,w/o Tensor Parallelism,replknet31b_b1_seq1,cnn,0.1622931771358099
Energy x Cost,energy,True,w/o Tensor Parallelism,replknet31b_b8_seq1,cnn,1.1765009492634384
Energy x Cost,energy,True,w/o Layer Fusion,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,22.642971493684687
Energy x Cost,energy,True,w/o Layer Fusion,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,295.64993444333936
Energy x Cost,energy,True,w/o Layer Fusion,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.23039156949085526
Energy x Cost,energy,True,w/o Layer Fusion,llama3.1_8b_decode_kv1024_b8_seq1,decode,4.489054826346568
Energy x Cost,energy,True,w/o Layer Fusion,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,100.89596614940214
Energy x Cost,energy,True,w/o Layer Fusion,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,1027.7402912056698
Energy x Cost,energy,True,w/o Layer Fusion,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.6612004117506934
Energy x Cost,energy,True,w/o Layer Fusion,llama3.1_70b_decode_kv1024_b8_seq1,decode,10.418068453307285
Energy x Cost,energy,True,w/o Layer Fusion,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,3.6676041651794904
Energy x Cost,energy,True,w/o Layer Fusion,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,84.42162973947886
Energy x Cost,energy,True,w/o Layer Fusion,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.4955481363105974
Energy x Cost,energy,True,w/o Layer Fusion,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,5.672456385963399
Energy x Cost,energy,True,w/o Layer Fusion,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,12.002619625481904
Energy x Cost,energy,True,w/o Layer Fusion,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,220.72673536062095
Energy x Cost,energy,True,w/o Layer Fusion,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,1.3970689730340762
Energy x Cost,energy,True,w/o Layer Fusion,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,16.898946708659718
Energy x Cost,energy,True,w/o Layer Fusion,mobilenet_v3_small_b1_seq1,cnn,0.009078489150219061
Energy x Cost,energy,True,w/o Layer Fusion,mobilenet_v3_small_b8_seq1,cnn,0.07582858344272721
Energy x Cost,energy,True,w/o Layer Fusion,replknet31b_b1_seq1,cnn,0.2151847026649446
Energy x Cost,energy,True,w/o Layer Fusion,replknet31b_b8_seq1,cnn,1.6729024825396892
EDP,edp,False,Full Fengshui,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.0001301897311763192
EDP,edp,False,Full Fengshui,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,0.00813585977501676
EDP,edp,False,Full Fengshui,llama3.1_8b_decode_kv1024_b1_seq1,decode,3.9370491538836114e-08
EDP,edp,False,Full Fengshui,llama3.1_8b_decode_kv1024_b8_seq1,decode,1.3432125961212e-06
EDP,edp,False,Full Fengshui,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,0.0020040510982519727
EDP,edp,False,Full Fengshui,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,0.12439633801678437
EDP,edp,False,Full Fengshui,llama3.1_70b_decode_kv1024_b1_seq1,decode,2.0461578924138415e-07
EDP,edp,False,Full Fengshui,llama3.1_70b_decode_kv1024_b8_seq1,decode,1.0259533745530329e-05
EDP,edp,False,Full Fengshui,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,4.329723824250374e-06
EDP,edp,False,Full Fengshui,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.00017127598640942815
EDP,edp,False,Full Fengshui,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,2.2938636669635308e-07
EDP,edp,False,Full Fengshui,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,1.4718674516556203e-06
EDP,edp,False,Full Fengshui,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,4.442891097749901e-05
EDP,edp,False,Full Fengshui,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,0.0021229649582899606
EDP,edp,False,Full Fengshui,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,3.322418085517818e-07
EDP,edp,False,Full Fengshui,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,2.0521824217218377e-05
EDP,edp,False,Full Fengshui,mobilenet_v3_small_b1_seq1,cnn,1.3109355308607232e-10
EDP,edp,False,Full Fengshui,mobilenet_v3_small_b8_seq1,cnn,7.068905534264046e-09
EDP,edp,False,Full Fengshui,replknet31b_b1_seq1,cnn,5.59991318227939e-07
EDP,edp,False,Full Fengshui,replknet31b_b8_seq1,cnn,1.9854715902964524e-05
EDP,edp,False,w/o Heterogeneous Batching,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.00013197466314685414
EDP,edp,False,w/o Heterogeneous Batching,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,0.00813585977501676
EDP,edp,False,w/o Heterogeneous Batching,llama3.1_8b_decode_kv1024_b1_seq1,decode,4.002139548570519e-08
EDP,edp,False,w/o Heterogeneous Batching,llama3.1_8b_decode_kv1024_b8_seq1,decode,1.353372038181924e-06
EDP,edp,False,w/o Heterogeneous Batching,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,0.0020138998402951243
EDP,edp,False,w/o Heterogeneous Batching,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,0.12439633801678437
EDP,edp,False,w/o Heterogeneous Batching,llama3.1_70b_decode_kv1024_b1_seq1,decode,2.0745553389342735e-07
EDP,edp,False,w/o Heterogeneous Batching,llama3.1_70b_decode_kv1024_b8_seq1,decode,1.0316286794194378e-05
EDP,edp,False,w/o Heterogeneous Batching,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,4.393268586569124e-06
EDP,edp,False,w/o Heterogeneous Batching,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.00017127598640942815
EDP,edp,False,w/o Heterogeneous Batching,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,2.3121579124544085e-07
EDP,edp,False,w/o Heterogeneous Batching,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,1.473690149184112e-06
EDP,edp,False,w/o Heterogeneous Batching,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,4.496190176070459e-05
EDP,edp,False,w/o Heterogeneous Batching,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,0.0021229649582899606
